FECDETALLE,CODIGO_SAP,TALLA,COLORES,MODELO,TIPO,PROM_FLG_DEPARTAMENTO_1_4_U3M_M2,TOT_PRECIO_CDESC_M0,TOT_PRECIO_M0,PROM_FLG_SUBCANAL_1_1_U3M_M1,PROM_FLG_DEPARTAMENTO_1_4_U3M_M1,PROM_FLG_SUBCANAL_1_1_U3M_M2,CLASS
201711,10CLPY-1900LL0-SC002,L,CHAMPAGNE,PTY,SPT,135.7,47.2,47.2,26,112.1,28,46
201712,10CLPY-1900LL0-SC002,L,CHAMPAGNE,PTY,SPT,112.1,59,59,29,145.5333333,26,32
201801,10CLPY-1900LL0-SC002,L,CHAMPAGNE,PTY,SPT,145.5333333,38.94,41.3,31,153.4,29,17
201802,10CLPY-1900LL0-SC002,L,CHAMPAGNE,PTY,SPT,153.4,5.428,5.9,35,177,31,12
201803,10CLPY-1900LL0-SC002,L,CHAMPAGNE,PTY,SPT,177,58.528,59,33,165.2,35,85
201804,10CLPY-1900LL0-SC002,L,CHAMPAGNE,PTY,SPT,165.2,38.4,38.4,36,169.1333333,33,52
201805,10CLPY-1900LL0-SC002,L,CHAMPAGNE,PTY,SPT,169.1333333,25.6,25.6,21,98.33333333,36,57
201806,10CLPY-1900LL0-SC002,L,CHAMPAGNE,PTY,SPT,98.33333333,38.4,38.4,10,35.4,21,22
201807,10CLPY-1900LL0-SC002,L,CHAMPAGNE,PTY,SPT,35.4,57.6,57.6,8,11.8,10,72
201808,10CLPY-1900LL0-SC002,L,CHAMPAGNE,PTY,SPT,11.8,57.988,58.5,23,102.4,8,88
201501,10CLPY-1900LL0-SC003,L,HUMO,PTY,SPT,,28.616,29.4,,,,51
201502,10CLPY-1900LL0-SC003,L,HUMO,PTY,SPT,,4.9,4.9,,,,9
201503,10CLPY-1900LL0-SC003,L,HUMO,PTY,SPT,,58.163,58.8,,,,150
201504,10CLPY-1900LL0-SC003,L,HUMO,PTY,SPT,,147.65364,144.48,,,,227
201505,10CLPY-1900LL0-SC003,L,HUMO,PTY,SPT,,130.7751,144.61,27,132.3,,136
201506,10CLPY-1900LL0-SC003,L,HUMO,PTY,SPT,132.3,157.078,169.41,18,88.2,27,68
201507,10CLPY-1900LL0-SC003,L,HUMO,PTY,SPT,88.2,161.1351,169.45,24,78.4,18,84
201508,10CLPY-1900LL0-SC003,L,HUMO,PTY,SPT,78.4,260.9871,283.47,39,93.1,24,146
201509,10CLPY-1900LL0-SC003,L,HUMO,PTY,SPT,93.1,193.8242,207.38,45,105.2767333,39,260
201510,10CLPY-1900LL0-SC003,L,HUMO,PTY,SPT,105.2767333,165.5731,171.19,41,96.47673333,45,207
201511,10CLPY-1900LL0-SC003,L,HUMO,PTY,SPT,96.47673333,126.14799,133.26,31,84.47673333,41,166
201512,10CLPY-1900LL0-SC003,L,HUMO,PTY,SPT,84.47673333,188.83137,239.96,49,73.8,31,198
201601,10CLPY-1900LL0-SC003,L,HUMO,PTY,SPT,73.8,31.968,32.4,54,79.2,49,58
201602,10CLPY-1900LL0-SC003,L,HUMO,PTY,SPT,79.2,42.336,43.2,79,156.6,54,89
201603,10CLPY-1900LL0-SC003,L,HUMO,PTY,SPT,156.6,74.866,77.43,89,250.2,79,111
201604,10CLPY-1900LL0-SC003,L,HUMO,PTY,SPT,250.2,136.956,146.32,83,264.6,89,96
201605,10CLPY-1900LL0-SC003,L,HUMO,PTY,SPT,264.6,296.347,322.99,53,183.6,83,207
201606,10CLPY-1900LL0-SC003,L,HUMO,PTY,SPT,183.6,188.1682,193.8322,22,108,53,259
201607,10CLPY-1900LL0-SC003,L,HUMO,PTY,SPT,108,159.0749,160.9629,48,109.8,22,211
201608,10CLPY-1900LL0-SC003,L,HUMO,PTY,SPT,109.8,161.0306,164.1576,56,95.56666667,48,143
201609,10CLPY-1900LL0-SC003,L,HUMO,PTY,SPT,95.56666667,102.4338,102.7288,79,84.96666667,56,59
201610,10CLPY-1900LL0-SC003,L,HUMO,PTY,SPT,84.96666667,175.83974,178.49474,67,87.96666667,79,169
201611,10CLPY-1900LL0-SC003,L,HUMO,PTY,SPT,87.96666667,248.89942,252.02642,61,59,67,194
201612,10CLPY-1900LL0-SC003,L,HUMO,PTY,SPT,59,93.732,95.62,38,35.4,61,93
201701,10CLPY-1900LL0-SC003,L,HUMO,PTY,SPT,35.4,29.2422,29.2422,32,23.6,38,16
201702,10CLPY-1900LL0-SC003,L,HUMO,PTY,SPT,23.6,79.6254,80.8644,38,39.33333333,32,94
201703,10CLPY-1900LL0-SC003,L,HUMO,PTY,SPT,39.33333333,24.21,24.21,55,70.8,38,7
201704,10CLPY-1900LL0-SC003,L,HUMO,PTY,SPT,70.8,48.22274,48.69474,50,64.9,55,43
201705,10CLPY-1900LL0-SC003,L,HUMO,PTY,SPT,64.9,150.86962,152.75762,38,76.7,50,117
201706,10CLPY-1900LL0-SC003,L,HUMO,PTY,SPT,76.7,102.1044,104.4644,33,104.2333333,38,99
201707,10CLPY-1900LL0-SC003,L,HUMO,PTY,SPT,104.2333333,158.22716,160.41016,25,92.43333333,33,124
201708,10CLPY-1900LL0-SC003,L,HUMO,PTY,SPT,92.43333333,180.8374,182.7254,21,64.9,25,82
201709,10CLPY-1900LL0-SC003,L,HUMO,PTY,SPT,64.9,301.8022,306.9942,15,59,21,296
201710,10CLPY-1900LL0-SC003,L,HUMO,PTY,SPT,59,179.36048,180.59948,28,106.2,15,207
201711,10CLPY-1900LL0-SC003,L,HUMO,PTY,SPT,106.2,310.8332,313.6652,48,112.1,28,327
201712,10CLPY-1900LL0-SC003,L,HUMO,PTY,SPT,112.1,194.6834,195.7454,46,86.53333333,48,133
201801,10CLPY-1900LL0-SC003,L,HUMO,PTY,SPT,86.53333333,96.782,98.67,44,66.86666667,46,108
201802,10CLPY-1900LL0-SC003,L,HUMO,PTY,SPT,66.86666667,65.629,67.34,51,149.4666667,44,64
201803,10CLPY-1900LL0-SC003,L,HUMO,PTY,SPT,149.4666667,142.486,143.43,54,163.2333333,51,174
201804,10CLPY-1900LL0-SC003,L,HUMO,PTY,SPT,163.2333333,104.5705,104.5705,62,206.5,54,64
201805,10CLPY-1900LL0-SC003,L,HUMO,PTY,SPT,206.5,157.941,157.941,46,173.0666667,62,63
201806,10CLPY-1900LL0-SC003,L,HUMO,PTY,SPT,173.0666667,184.02714,186.07514,39,137.6666667,46,547
